open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1651536000000,38525.5,38530.8,38508.5,38512.4,94.055,1651536059999,3622938.0056,2341,66.444,2559385.03,0
1651536060000,38512.4,38541.7,38500.0,38500.8,184.35,1651536119999,7100458.0303,2154,103.28,3978317.6869,0
1651536120000,38500.9,38506.0,38454.4,38499.6,288.747,1651536179999,11111133.0099,2411,88.047,3388423.6256,0
1651536180000,38499.6,38519.6,38485.0,38513.4,150.985,1651536239999,5813172.7006,2021,92.343,3555655.7843,0
1651536240000,38513.4,38528.8,38501.7,38507.1,70.615,1651536299999,2719698.5926,1848,32.519,1252428.3023,0
1651536300000,38507.1,38517.7,38502.8,38504.9,68.901,1651536359999,2653364.5596,985,34.465,1327224.3247,0
1651536360000,38505.0,38524.0,38485.3,38513.4,286.895,1651536419999,11045715.9251,2295,78.892,3037834.1358,0
1651536420000,38513.5,38558.4,38513.4,38541.8,216.703,1651536479999,8352667.5262,1778,159.59,6151100.5834,0
1651536480000,38541.9,38561.9,38529.2,38555.3,142.311,1651536539999,5485568.9665,1625,105.624,4071585.9739,0
1651536540000,38555.3,38562.5,38552.5,38557.3,64.542,1651536599999,2488441.2363,948,49.4,1904624.1949,0
1651536600000,38557.2,38578.7,38554.1,38568.0,203.622,1651536659999,7853034.3344,1921,175.795,6779905.0244,0
1651536660000,38568.0,38572.9,38551.7,38559.1,82.474,1651536719999,3180284.4739,1067,33.076,1275537.5582,0
1651536720000,38559.1,38570.0,38557.0,38565.3,51.202,1651536779999,1974486.2925,866,39.375,1518414.7233,0
1651536780000,38565.4,38568.0,38548.3,38556.4,56.025,1651536839999,2160122.3519,766,16.456,634495.2905,0
1651536840000,38556.7,38558.9,38541.5,38546.2,40.996,1651536899999,1580459.9384,742,15.968,615574.7762,0
1651536900000,38546.2,38559.0,38538.7,38540.0,62.928,1651536959999,2425764.842,924,28.317,1091600.8792,0
1651536960000,38540.0,38546.8,38514.6,38522.5,300.932,1651537019999,11593829.9755,1645,117.698,4534054.1284,0
1651537020000,38522.5,38522.6,38497.0,38515.1,75.232,1651537079999,2897087.0857,1066,20.629,794337.7003,0
1651537080000,38515.2,38515.2,38487.1,38499.9,83.567,1651537139999,3217413.0655,1096,36.145,1391717.593,0
1651537140000,38499.8,38502.3,38486.8,38497.4,75.148,1651537199999,2892888.9171,1075,19.913,766561.14,0
1651537200000,38497.4,38498.6,38471.4,38477.3,88.545,1651537259999,3407884.0793,1000,26.99,1038776.4717,0
1651537260000,38477.3,38483.6,38450.0,38452.3,419.008,1651537319999,16115323.5048,2443,70.863,2725706.0744,0
1651537320000,38452.3,38487.4,38450.0,38478.8,113.034,1651537379999,4348630.4423,1189,83.516,3213143.791,0
1651537380000,38478.8,38496.6,38470.9,38483.5,60.199,1651537439999,2316819.3458,911,36.546,1406462.8807,0
1651537440000,38483.6,38498.0,38468.4,38492.2,138.041,1651537499999,5311920.4555,1221,33.047,1271735.1121,0
1651537500000,38492.2,38496.0,38480.0,38485.8,62.719,1651537559999,2413854.3156,842,43.262,1664986.9859,0
1651537560000,38485.8,38496.0,38466.3,38492.1,102.802,1651537619999,3955761.1725,955,68.061,2618996.0695,0
1651537620000,38492.1,38511.9,38465.0,38467.8,122.637,1651537679999,4719261.2861,1294,64.426,2479527.7206,0
1651537680000,38467.8,38495.4,38458.7,38494.1,62.223,1651537739999,2393910.5163,880,34.84,1340424.1802,0
1651537740000,38494.1,38495.8,38473.1,38473.2,60.577,1651537799999,2331293.0561,708,20.541,790526.3716,0
1651537800000,38473.2,38494.1,38431.0,38435.0,165.155,1651537859999,6351613.33147,2087,42.004,1615904.1431,0
1651537860000,38435.1,38454.4,38435.0,38447.8,77.505,1651537919999,2979381.9289,1286,32.202,1237871.8848,0
1651537920000,38447.9,38473.1,38444.0,38458.9,93.017,1651537979999,3577099.1189,1287,57.974,2229506.2838,0
1651537980000,38457.7,38493.7,38455.3,38473.6,203.373,1651538039999,7824704.2983,1693,136.828,5264726.1196,0
1651538040000,38473.6,38473.7,38462.9,38470.1,35.893,1651538099999,1380764.3676,711,21.684,834153.5309,0
1651538100000,38470.0,38498.2,38470.0,38476.5,156.829,1651538159999,6035651.6482,1548,131.197,5049195.6951,0
1651538160000,38475.8,38482.1,38464.6,38466.0,72.422,1651538219999,2786187.883,840,50.414,1939521.8926,0
1651538220000,38465.9,38476.6,38465.9,38473.3,83.321,1651538279999,3205357.9752,780,65.687,2526961.123,0
1651538280000,38473.2,38473.3,38455.2,38455.2,39.631,1651538339999,1524299.0367,647,16.743,643976.5851,0
1651538340000,38455.2,38479.5,38454.0,38476.7,56.262,1651538399999,2164058.5891,1316,35.336,1359195.84,0
1651538400000,38476.8,38495.1,38462.2,38465.6,96.118,1651538459999,3699282.6639,1215,60.642,2333901.2488,0
1651538460000,38465.7,38466.8,38454.4,38460.2,40.75,1651538519999,1567246.0619,903,22.729,874150.3634,0
1651538520000,38460.2,38465.8,38444.0,38446.7,80.53,1651538579999,3096887.9015,1441,23.285,895486.5288,0
1651538580000,38446.6,38474.8,38446.6,38455.4,75.961,1651538639999,2921392.7886,1090,46.664,1794744.0886,0
1651538640000,38455.3,38465.6,38455.3,38465.6,32.793,1651538699999,1261275.0249,436,19.573,752820.0555,0
1651538700000,38465.6,38475.4,38450.7,38457.1,52.753,1651538759999,2029048.0846,958,29.846,1147964.7379,0
1651538760000,38457.0,38485.9,38452.7,38474.0,100.263,1651538819999,3857028.9331,1311,87.371,3361057.2449,0
1651538820000,38472.4,38474.9,38457.8,38463.8,58.19,1651538879999,2238146.8838,887,42.931,1651228.2128,0
1651538880000,38463.1,38465.6,38455.4,38457.2,26.484,1651538939999,1018598.1708,755,11.844,455517.5921,0
1651538940000,38457.2,38467.5,38455.4,38463.3,75.544,1651538999999,2905634.3187,870,47.625,1831805.6293,0
1651539000000,38463.3,38467.3,38444.0,38446.1,68.809,1651539059999,2645876.9202,998,18.3,703634.9612,0
1651539060000,38446.2,38446.2,38420.2,38425.7,167.682,1651539119999,6443934.8464,1510,28.507,1095505.3401,0
1651539120000,38425.8,38454.2,38423.2,38434.3,110.266,1651539179999,4238872.0972,1249,80.313,3087522.0896,0
1651539180000,38434.2,38449.9,38433.6,38445.7,72.968,1651539239999,2805047.2806,755,58.32,2241946.1962,0
1651539240000,38445.7,38445.7,38406.0,38416.5,173.738,1651539299999,6674572.84323,1874,64.011,2459094.2843,0
1651539300000,38416.5,38428.5,38408.3,38419.7,111.111,1651539359999,4268820.2617,1594,51.557,1980861.1615,0
1651539360000,38419.8,38419.8,38408.9,38411.6,85.48,1651539419999,3283622.1547,890,26.889,1032976.2927,0
1651539420000,38411.6,38437.7,38382.0,38429.2,236.214,1651539479999,9070647.76447,2574,89.425,3434406.9713,0
1651539480000,38429.3,38443.9,38422.1,38422.9,111.838,1651539539999,4298395.3252,1180,62.842,2415288.5607,0
1651539540000,38422.9,38435.4,38408.2,38412.1,77.589,1651539599999,2981116.8898,922,49.684,1908999.9474,0
1651539600000,38412.0,38434.7,38405.5,38427.4,81.883,1651539659999,3145712.5433,1211,48.409,1859675.932,0
1651539660000,38427.3,38447.1,38427.3,38446.2,56.496,1651539719999,2171596.7491,988,33.821,1300045.5275,0
1651539720000,38446.2,38449.1,38430.0,38439.7,102.552,1651539779999,3942360.811,1265,58.217,2237994.8234,0
1651539780000,38439.7,38444.3,38432.0,38442.2,43.495,1651539839999,1671873.4,934,26.153,1005275.5576,0
1651539840000,38442.2,38447.0,38437.1,38437.9,41.807,1651539899999,1607152.4026,852,29.39,1129826.6887,0
