open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1688774400000,1870.00,1870.40,1867.23,1867.93,6767.709,1688774459999,12646793.96221,3146,1123.169,2098937.54435,0
1688774460000,1867.93,1869.40,1867.92,1869.39,3601.663,1688774519999,6730496.00615,2134,3014.639,5633445.21567,0
1688774520000,1869.39,1869.90,1868.20,1869.54,6814.843,1688774579999,12738269.79329,2644,4711.307,8806323.30119,0
1688774580000,1869.53,1869.53,1868.19,1868.19,525.409,1688774639999,981938.05510,848,60.868,113753.87081,0
1688774640000,1868.20,1868.56,1868.19,1868.41,571.488,1688774699999,1067705.81392,529,471.930,881688.06909,0
1688774700000,1868.41,1868.98,1868.41,1868.96,800.446,1688774759999,1495756.79298,637,683.392,1276997.75277,0
1688774760000,1868.96,1868.97,1868.46,1868.46,333.936,1688774819999,624066.19692,523,51.868,96934.70784,0
1688774820000,1868.47,1869.13,1868.46,1869.12,557.553,1688774879999,1041867.70336,507,474.248,886203.85598,0
1688774880000,1869.13,1869.32,1869.02,1869.04,724.434,1688774939999,1354099.77633,498,384.572,718810.17542,0
1688774940000,1869.04,1869.19,1869.03,1869.03,192.483,1688774999999,359778.25190,432,71.069,132835.51310,0
1688775000000,1869.03,1869.19,1869.03,1869.18,159.502,1688775059999,298119.82789,368,93.635,175009.23715,0
1688775060000,1869.18,1869.19,1868.68,1868.68,543.681,1688775119999,1016191.97500,518,15.172,28359.34168,0
1688775120000,1868.68,1868.94,1868.47,1868.64,495.143,1688775179999,925248.78917,684,229.539,428910.08190,0
1688775180000,1868.64,1868.65,1867.50,1867.65,1137.913,1688775239999,2125859.36315,844,71.944,134387.15552,0
1688775240000,1867.66,1868.45,1867.66,1868.29,350.971,1688775299999,655671.47030,575,164.631,307538.97040,0
1688775300000,1868.29,1869.08,1868.08,1868.21,826.994,1688775359999,1545275.80306,1029,262.487,490468.22231,0
1688775360000,1868.21,1868.22,1867.26,1867.50,616.858,1688775419999,1152100.55952,832,55.901,104407.69671,0
1688775420000,1867.50,1868.20,1867.26,1868.01,360.643,1688775479999,673569.95812,582,131.958,246443.36086,0
1688775480000,1868.00,1869.24,1868.00,1869.24,371.105,1688775539999,693427.63929,659,313.259,585347.52684,0
1688775540000,1869.24,1869.75,1869.23,1869.75,327.111,1688775599999,611517.75796,399,284.247,531389.16032,0
1688775600000,1869.75,1869.87,1869.31,1869.31,341.679,1688775659999,638845.19982,591,89.163,166711.08522,0
1688775660000,1869.31,1869.32,1869.17,1869.17,374.908,1688775719999,700802.46263,400,38.285,71562.70822,0
1688775720000,1869.17,1869.18,1868.47,1868.47,334.209,1688775779999,624624.10053,621,43.440,81183.30278,0
1688775780000,1868.47,1868.66,1868.12,1868.12,741.784,1688775839999,1385978.07461,701,255.197,476815.64251,0
1688775840000,1868.13,1868.57,1867.63,1868.56,405.582,1688775899999,757618.58385,839,209.458,391261.78067,0
1688775900000,1868.57,1868.57,1868.22,1868.49,273.984,1688775959999,511918.08759,537,51.891,96950.33110,0
1688775960000,1868.49,1868.99,1868.49,1868.99,137.335,1688776019999,256637.07804,396,101.604,189867.74814,0
1688776020000,1868.99,1869.00,1868.99,1868.99,99.672,1688776079999,186286.57303,281,60.175,112467.07500,0
1688776080000,1868.99,1869.00,1868.99,1868.99,81.282,1688776139999,151915.71157,281,46.639,87168.29100,0
1688776140000,1869.00,1869.12,1868.99,1869.11,148.098,1688776199999,276795.78418,318,94.347,176335.40413,0
1688776200000,1869.12,1869.12,1868.44,1868.70,609.083,1688776259999,1138240.38258,742,183.356,342629.26335,0
1688776260000,1868.70,1868.85,1868.70,1868.70,163.754,1688776319999,306023.70358,397,47.020,87868.25866,0
1688776320000,1868.70,1868.71,1868.44,1868.69,141.970,1688776379999,265278.22276,391,116.174,217075.32256,0
1688776380000,1868.70,1868.70,1867.75,1868.24,741.019,1688776439999,1384279.01517,790,432.840,808507.50685,0
1688776440000,1868.24,1868.24,1868.01,1868.02,119.912,1688776499999,224012.93499,436,14.305,26722.64240,0
1688776500000,1868.02,1868.45,1868.01,1868.12,358.876,1688776559999,670418.32970,585,218.374,407940.77562,0
1688776560000,1868.13,1868.13,1867.88,1867.88,117.917,1688776619999,220269.30975,424,14.213,26548.77575,0
1688776620000,1867.88,1867.89,1866.81,1867.19,669.122,1688776679999,1249426.45331,1094,50.401,94097.26352,0
1688776680000,1867.19,1867.67,1867.11,1867.12,624.631,1688776739999,1166433.46377,791,313.343,585144.11339,0
1688776740000,1867.12,1867.40,1867.03,1867.25,395.863,1688776799999,739144.70046,587,174.135,325129.80211,0
1688776800000,1867.25,1867.53,1866.65,1866.92,371.173,1688776859999,692948.04499,867,52.311,97658.52976,0
1688776860000,1866.92,1867.91,1866.92,1867.91,653.697,1688776919999,1220832.53979,673,608.576,1136560.86716,0
1688776920000,1867.90,1869.00,1867.90,1869.00,457.938,1688776979999,855647.19146,637,408.624,763496.41982,0
1688776980000,1869.00,1869.82,1868.99,1869.15,2026.890,1688777039999,3789368.71183,1058,1395.772,2609437.39013,0
1688777040000,1869.16,1869.56,1868.90,1868.90,485.696,1688777099999,907891.37040,557,94.816,177252.31916,0
1688777100000,1868.91,1868.92,1868.17,1868.90,588.256,1688777159999,1099240.68127,717,116.120,216962.80234,0
1688777160000,1868.91,1868.91,1868.40,1868.49,298.020,1688777219999,556893.85968,373,90.186,168506.52220,0
1688777220000,1868.50,1868.50,1868.40,1868.40,166.218,1688777279999,310572.77228,343,48.622,90848.37611,0
1688777280000,1868.40,1868.98,1868.40,1868.76,325.450,1688777339999,608206.87223,457,181.538,339260.08503,0
1688777340000,1868.77,1869.14,1868.76,1869.13,207.426,1688777399999,387667.46299,342,167.141,312381.75117,0
1688777400000,1869.14,1869.14,1869.13,1869.13,122.974,1688777459999,229854.69839,357,30.577,57152.69378,0
1688777460000,1869.14,1870.20,1869.13,1870.06,1278.699,1688777519999,2390980.94115,1102,994.453,1859443.45771,0
1688777520000,1870.06,1870.07,1869.44,1869.44,746.185,1688777579999,1395261.00331,679,98.313,183828.06786,0
1688777580000,1869.44,1869.72,1869.43,1869.71,194.819,1688777639999,364210.60186,440,83.722,156521.52213,0
1688777640000,1869.72,1870.27,1869.71,1870.00,404.972,1688777699999,757348.34623,535,239.948,448721.74221,0
1688777700000,1870.01,1870.78,1869.76,1869.76,976.177,1688777759999,1825807.88870,1172,580.554,1085877.07196,0
1688777760000,1869.76,1869.77,1869.14,1869.14,454.418,1688777819999,849482.90742,651,167.055,312282.86041,0
1688777820000,1869.14,1869.27,1868.37,1868.52,802.328,1688777879999,1499431.26424,925,220.137,411450.87795,0
1688777880000,1868.53,1869.57,1868.53,1869.57,398.233,1688777939999,744228.49874,565,291.412,544602.50752,0
1688777940000,1869.57,1870.77,1869.57,1870.71,1501.529,1688777999999,2808359.33221,1385,1185.209,2216668.47187,0
1688778000000,1870.70,1873.10,1870.27,1871.97,7607.680,1688778059999,14239608.78924,5514,5612.667,10505593.23706,0
1688778060000,1871.97,1871.97,1870.96,1871.10,797.052,1688778119999,1491492.88417,1043,230.217,430758.91433,0
1688778120000,1871.10,1871.60,1871.00,1871.00,1435.682,1688778179999,2686591.59253,1161,614.053,1149098.28077,0
1688778180000,1871.00,1871.01,1870.31,1870.49,999.969,1688778239999,1870441.44730,877,420.469,786472.14444,0
1688778240000,1870.50,1870.67,1870.14,1870.65,1232.374,1688778299999,2305106.43527,840,250.248,468071.33956,0
1688778300000,1870.65,1870.66,1869.68,1869.68,478.892,1688778359999,895631.65226,716,51.027,95434.85220,0
1688778360000,1869.68,1869.68,1868.46,1868.61,1626.413,1688778419999,3039713.81444,1522,270.186,504898.66080,0
1688778420000,1868.60,1868.79,1867.95,1867.95,1267.723,1688778479999,2368585.83680,1400,592.673,1107296.08602,0
1688778480000,1867.95,1868.88,1867.95,1868.68,413.065,1688778539999,771824.73637,676,254.183,474934.25468,0
1688778540000,1868.68,1869.33,1868.67,1869.33,336.343,1688778599999,628585.71654,656,227.954,426024.03563,0
1688778600000,1869.33,1869.68,1869.32,1869.32,457.100,1688778659999,854573.64011,622,134.626,251677.26248,0
1688778660000,1869.33,1869.33,1869.08,1869.09,395.248,1688778719999,738773.62303,485,71.234,133145.58531,0
1688778720000,1869.08,1869.12,1868.89,1869.11,391.757,1688778779999,732170.52077,450,182.144,340416.78728,0
1688778780000,1869.11,1869.12,1869.11,1869.11,50.470,1688778839999,94334.16674,251,18.504,34586.19648,0
1688778840000,1869.11,1869.11,1869.10,1869.10,307.456,1688778899999,574668.59353,359,134.898,252139.20078,0
1688778900000,1869.10,1869.11,1868.16,1868.70,755.242,1688778959999,1411257.77845,932,153.950,287643.81975,0
1688778960000,1868.70,1868.71,1868.15,1868.26,418.199,1688779019999,781380.68714,648,183.637,343112.73446,0
1688779020000,1868.26,1868.84,1868.26,1868.70,168.715,1688779079999,315260.55938,398,98.115,183329.10890,0
1688779080000,1868.70,1869.17,1868.70,1869.16,196.672,1688779139999,367567.23475,438,145.193,271352.57618,0
1688779140000,1869.16,1869.17,1868.85,1868.85,229.814,1688779199999,429538.64456,390,42.695,79802.03633,0
1688779200000,1868.86,1868.86,1868.25,1868.26,295.966,1688779259999,553025.45380,537,38.565,72064.58825,0
1688779260000,1868.25,1869.00,1868.06,1868.77,411.932,1688779319999,769656.25306,650,279.466,522128.88749,0
1688779320000,1868.77,1868.98,1868.65,1868.88,328.597,1688779379999,614088.61406,485,210.521,393423.18557,0
1688779380000,1868.87,1869.06,1868.51,1869.06,346.391,1688779439999,647311.64880,550,293.001,547538.49117,0
1688779440000,1869.05,1869.05,1868.54,1868.54,344.132,1688779499999,643079.41579,506,33.074,61803.92142,0
1688779500000,1868.54,1869.41,1868.54,1869.41,319.974,1688779559999,598013.44734,575,265.007,495283.98914,0
1688779560000,1869.41,1870.83,1869.40,1870.56,619.338,1688779619999,1158421.62060,955,493.852,923683.29886,0
1688779620000,1870.57,1871.20,1870.57,1870.83,934.182,1688779679999,1747885.95819,825,668.284,1250363.22981,0
1688779680000,1870.83,1871.09,1870.81,1871.08,346.911,1688779739999,649036.19358,514,260.329,487042.61675,0
1688779740000,1871.08,1871.20,1870.77,1870.95,488.195,1688779799999,913395.90893,722,153.234,286692.75322,0
1688779800000,1870.95,1870.96,1870.47,1870.67,794.735,1688779859999,1486737.84242,916,177.632,332301.62743,0
1688779860000,1870.67,1870.67,1869.50,1869.50,981.485,1688779919999,1835220.27896,879,197.443,369177.51832,0
1688779920000,1869.50,1869.51,1868.84,1868.84,248.041,1688779979999,463626.15233,510,28.520,53308.18905,0
1688779980000,1868.84,1868.93,1868.40,1868.50,346.263,1688780039999,647048.56019,574,128.604,240316.79963,0
1688780040000,1868.50,1868.63,1868.50,1868.50,292.190,1688780099999,545983.09896,417,63.382,118433.74270,0
1688780100000,1868.51,1868.93,1868.24,1868.93,364.064,1688780159999,680230.10903,524,143.646,268408.34042,0
1688780160000,1868.93,1868.93,1868.30,1868.30,181.164,1688780219999,338515.85587,374,72.467,135409.70250,0
1688780220000,1868.30,1868.44,1868.16,1868.16,356.640,1688780279999,666301.98051,508,203.970,381074.02342,0
1688780280000,1868.16,1868.38,1868.16,1868.37,354.733,1688780339999,662715.85437,514,201.977,377336.97561,0
1688780340000,1868.38,1868.64,1868.38,1868.41,350.306,1688780399999,654551.70172,454,209.332,391132.40118,0
1688780400000,1868.42,1868.42,1868.15,1868.16,350.620,1688780459999,655037.35250,549,189.339,353721.09529,0
